"","x"
"1","Etna"
"2",""
"3","Willamette Valley"
"4","Lake Michigan Shore"
"5","Navarra"
"6","Vittoria"
"7","Alsace"
"8","Napa Valley"
"9","Alexander Valley"
"10","Central Coast"
"11","Cafayate"
"12","Mendoza"
"13","Ribera del Duero"
"14","Virginia"
"15","Oregon"
"16","Sicilia"
"17","Paso Robles"
"18","Sonoma Coast"
"19","Terre Siciliane"
"20","Cerasuolo di Vittoria"
"21","Clarksburg"
"22","Beaujolais-Villages"
"23","Dry Creek Valley"
"24","Sonoma Valley"
"25","McMinnville"
"26","Puglia"
"27","Beaujolais"
"28","Lake County"
"29","Monticello"
"30","Brouilly"
"31","Monica di Sardegna"
"32","Bordeaux Blanc"
"33","North Coast"
"34","Columbia Valley (WA)"
"35","Romagna"
"36","Champagne"
"37","Santa Ynez Valley"
"38","Chablis"
"39","Mâcon-Milly Lamartine"
"40","California"
"41","Aglianico del Vulture"
"42","Howell Mountain"
"43","Calistoga"
"44","South Australia"
"45","Eola-Amity Hills"
"46","Rías Baixas"
"47","Vin de France"
"48","McLaren Vale"
"49","Ancient Lakes"
"50","Knights Valley"
"51","Vernaccia di San Gimignano"
"52","Toscana"
"53","Sonoma County"
"54","Juliénas"
"55","Régnié"
"56","Finger Lakes"
"57","Morellino di Scansano"
"58","Santa Clara Valley"
"59","Yountville"
"60","Barolo"
"61","Rockpile"
"62","Padthaway"
"63","Saint-Émilion"
"64","Barbera d'Alba"
"65","Santa Lucia Highlands"
"66","Spring Mountain District"
"67","Monterey"
"68","Carmel Valley"
"69","Dominio de Valdepusa"
"70","Santa Cruz Mountains"
"71","Chianti Classico"
"72","Brunello di Montalcino"
"73","Cahors"
"74","Edna Valley"
"75","Moulin-à-Vent"
"76","Madiran"
"77","Russian River Valley"
"78","Alto Adige"
"79","Arroyo Seco"
"80","Salta"
"81","Anderson Valley"
"82","Campania"
"83","Rosso del Veronese"
"84","St.-Romain"
"85","Vino Nobile di Montepulciano"
"86","Nevada County"
"87","Côtes du Rhône"
"88","Vacqueyras"
"89","Rueda"
"90","Luján de Cuyo"
"91","Cayuga Lake"
"92","Montepulciano d'Abruzzo"
"93","Santa Barbara County"
"94","Diamond Mountain District"
"95","San Marino"
"96","Mendocino"
"97","Vin de Pays des Côtes de Gascogne"
"98","Vino de la Tierra de Castilla y León"
"99","San Juan"
"100","Adelaide Hills"
"101","Sonoma Mountain"
"102","Amador County"
"103","St. Helena"
"104","Cole Ranch"
"105","Santa Maria Valley"
"106","Torgiano"
"107","Veneto"
"108","Colli Orientali del Friuli"
"109","Uco Valley"
"110","Monferrato"
"111","Dundee Hills"
"112","Perdriel"
"113","Arroyo Grande Valley"
"114","Montsant"
"115","Saint-Estèphe"
"116","Sagrantino di Montefalco"
"117","Arbois"
"118","Barossa Valley"
"119","Tupungato"
"120","Langhe"
"121","Roero"
"122","Barbera d'Asti Superiore Nizza"
"123","Mendocino County"
"124","Côte de Nuits-Villages"
"125","Prosecco di Valdobbiadene"
"126","Prosecco di Conegliano"
"127","Languedoc"
"128","Coteaux Varois en Provence"
"129","Cava"
"130","Rutherglen"
"131","Barossa"
"132","Montrachet"
"133","Heathcote"
"134","Clos de Vougeot"
"135","Chassagne-Montrachet"
"136","Criots-Bâtard-Montrachet"
"137","Clare Valley"
"138","Bianco di Custoza"
"139","Friuli"
"140","Soave"
"141","Collio"
"142","Trentino"
"143","Valdadige"
"144","Rutherford"
"145","Italy"
"146","Prosecco del Veneto"
"147","Prosecco di Conegliano e Valdobbiadene"
"148","Graves"
"149","Walla Walla Valley (WA)"
"150","New York"
"151","Rioja"
"152","North Fork of Long Island"
"153","Wahluke Slope"
"154","Templeton Gap District"
"155","Snipes Mountain"
"156","Gavi"
"157","Bierzo"
"158","Long Island"
"159","Muscadet Sèvre et Maine"
"160","Franciacorta"
"161","Meursault"
"162","Niagara-On-The-Lake"
"163","Carneros"
"164","Ribbon Ridge"
"165","Amarone della Valpolicella"
"166","Chambolle-Musigny"
"167","Pomerol"
"168","Cannonau di Sardegna"
"169","Red Mountain"
"170","Isola dei Nuraghi"
"171","Sta. Rita Hills"
"172","Côtes du Rhône Villages"
"173","Friuli Grave"
"174","El Dorado"
"175","Suisun Valley"
"176","Côtes de Provence"
"177","Lodi"
"178","Venezia Giulia"
"179","Yakima Valley"
"180","Monterey County"
"181","Chiles Valley"
"182","Mercurey"
"183","Calaveras County"
"184","Chehalem Mountains"
"185","Horse Heaven Hills"
"186","Umpqua Valley"
"187","Alto Adige Valle Isarco"
"188","Ballard Canyon"
"189","Green Valley"
"190","Coteaux d'Aix-en-Provence"
"191","Côtes de Provence Sainte-Victoire"
"192","Sierra Foothills"
"193","Yolo County"
"194","Dolcetto d'Alba"
"195","Bordeaux Supérieur"
"196","Costières de Nîmes"
"197","Bordeaux"
"198","Washington"
"199","Columbia Gorge (WA)"
"200","Oak Knoll District"
"201","Rogue Valley"
"202","Northern Sonoma"
"203","Soave Classico"
"204","Conegliano Valdobbiadene Prosecco Superiore"
"205","Piedmont"
"206","Idaho"
"207","Gambellara Classico"
"208","Yarra Valley"
"209","Great Southern"
"210","Mokelumne River"
"211","Los Carneros"
"212","Mount Veeder"
"213","Dogliani Superiore"
"214","Valencia"
"215","Cortona"
"216","Piemonte"
"217","Colli della Toscana Centrale"
"218","Livermore Valley"
"219","Valle de Uco"
"220","Mâcon-Villages"
"221","Texas"
"222","Côte Chalonnaise"
"223","Chorey-lès-Beaune"
"224","Calchaquí Valley"
"225","Coteaux Bourguignons"
"226","Saint-Véran"
"227","Barbaresco"
"228","South Eastern Australia"
"229","Temecula Valley"
"230","Tasmania"
"231","Cariñena"
"232","Vin Santo del Chianti Classico"
