"","x"
"1","Nicosia"
"2","Quinta dos Avidagos"
"3","Rainstorm"
"4","St. Julian"
"5","Sweet Cheeks"
"6","Tandem"
"7","Terre di Giurfo"
"8","Trimbach"
"9","Heinz Eifel"
"10","Jean-Baptiste Adam"
"11","Kirkland Signature"
"12","Leon Beyer"
"13","Louis M. Martini"
"14","Masseria Setteporte"
"15","Mirassou"
"16","Richard Böcking"
"17","Felix Lavaque"
"18","Gaucho Andino"
"19","Pradorey"
"20","Quiévremont"
"21","Acrobat"
"22","Baglio di Pianetto"
"23","Bianchi"
"24","Canicattì"
"25","Castello di Amorosa"
"26","Stemmari"
"27","Clarksburg Wine Company"
"28","Domaine de la Madone"
"29","Duca di Salaparuta"
"30","Envolve"
"31","Erath"
"32","Estampa"
"33","Feudi del Pisciotto"
"34","Feudi di San Marzano"
"35","Feudo di Santa Tresa"
"36","Feudo Montoni"
"37","Hawkins Cellars"
"38","Henry Fessy"
"39","Robert Hall"
"40","Sundance"
"41","Tarara"
"42","Tasca d'Almerita"
"43","The White Knight"
"44","Trump"
"45","Vignerons de Bel Air"
"46","Viticultori Associati Canicatti"
"47","Casa Silva"
"48","Cantine di Dolianova"
"49","Château de Sours"
"50","Corvo"
"51","RustRidge"
"52","Souverain"
"53","Tres Palacios"
"54","Mellisoni"
"55","Okapi"
"56","Podere dal Nespoli"
"57","Ram"
"58","Roland Champion"
"59","Sevtap"
"60","Simonnet-Febvre"
"61","Vignerons des Terres Secrètes"
"62","Basel Cellars"
"63","Cocobon"
"64","Collet"
"65","Drumheller"
"66","Eco Terreno"
"67","Grifalco"
"68","Hindsight"
"69","Mulvane Wine Co."
"70","Schmitt Söhne"
"71","Yalumba"
"72","Z'IVO"
"73","Adega Cooperativa do Cartaxo"
"74","Aresti"
"75","Spyro"
"76","Lionel Osmin & Cie"
"77","Mitolo"
"78","Napa Cellars"
"79","P.J. Valckenberg"
"80","Palencia"
"81","Passaggio"
"82","Poggio Alloro"
"83","Fattoria Sardi"
"84","Ferrari-Carano"
"85","Folie à Deux"
"86","Franciscan"
"87","Fuchs"
"88","Gård"
"89","Heron Hill"
"90","Serpaia di Endrizzi"
"91","Soquel Vineyards"
"92","Ventosa"
"93","Lamoreaux Landing"
"94","Leyda"
"95","Madonna Alta"
"96","Marchesi Antinori"
"97","Marchesi de' Frescobaldi"
"98","Martin Ranch"
"99","Ornellaia"
"100","Pardon et Fils"
"101","Piña"
"102","Podere Ciona"
"103","Poggioventoso"
"104","Pull"
"105","R2"
"106","Rideau"
"107","Tenuta Forconi"
"108","Dopff & Irion"
"109","Ceretto"
"110","Matrix"
"111","Mauritson"
"112","Henry's Drive Vignerons"
"113","Silverado"
"114","Le Riche"
"115","Pierre Sparr"
"116","Kuentz-Bas"
"117","Camberley"
"118","Delheim"
"119","Poderi Luigi Einaudi"
"120","Clark-Clauden"
"121","Giacomo Ascheri"
"122","Lassègue"
"123","Beaumont"
"124","Poderi Colla"
"125","Banyan"
"126","Domaine Zind-Humbrecht"
"127","Terra Valentine"
"128","Testarossa"
"129","Vincent Vineyards"
"130","Weingut Liebfrauenstift"
"131","Wrath"
"132","Yardstick"
"133","Herdade Grande"
"134","Albatross Ridge"
"135","Alta Colina"
"136","Marques de Griñon"
"137","Big Basin"
"138","Carl Graff"
"139","Casa Santa Vitória"
"140","Castello di Gabbiano"
"141","Castello Romitorio"
"142","Château Vincens"
"143","Chronic Cellars"
"144","Claiborne & Churchill"
"145","Collin-Bourisset"
"146","Conde de Velázquez"
"147","Cono Sur"
"148","Domaine Berthoumieu"
"149","Dracaena"
"150","Duckhorn"
"151","Dutton-Goldfield"
"152","Fritz Haag"
"153","G7"
"154","Le Cadeau"
"155","Stoneleigh"
"156","Tenuta Peter Sölva & Söhne"
"157","TerraMater"
"158","Isole e Olena"
"159","Kenwood"
"160","La Chablisienne"
"161","Manzoni"
"162","McIntyre Vineyards"
"163","Abbadia Ardenga"
"164","Alamos"
"165","Anaba"
"166","Apaltagua"
"167","Harrington"
"168","Abbazia Santa Anastasia"
"169","Viña Bisquertt"
"170","Emiliana"
"171","Fattoria Alois"
"172","Aldegheri"
"173","Bertrand Ambroise"
"174","Campomaggio"
"175","Carpineto"
"176","Cesani"
"177","Spier"
"178","Sequum"
"179","Sierra Starr"
"180","Tenuta di Sesta"
"181","Terlan"
"182","Yatir"
"183","Adega Cooperativa de Borba"
"184","J. Lohr"
"185","Courtney Benham"
"186","Del Carlo Winery"
"187","Delaire Graff"
"188","Domaine St Pierre"
"189","Eikendal"
"190","Famille Perrin"
"191","Matarromera"
"192","MCV"
"193","Mounts"
"194","Or Haganuz"
"195","Podere Scopetone"
"196","Quinta de Foz de Arouce"
"197","Robert Mondavi"
"198","Samuel Tinon"
"199","Sixteen by Twenty"
"200","St. Pauls"
"201","Talenti"
"202","Mendel"
"203","Oldenburg"
"204","Wagner"
"205","Treleaven"
"206","Benessere"
"207","Bloomer Creek"
"208","Andean Sky"
"209","Angove's"
"210","Silvan Ridge"
"211","Talamonti"
"212","Meeker"
"213","Consorzio Vini Tipici di San Marino"
"214","D'Arenberg"
"215","Dogwood"
"216","Domaine du Tariquet"
"217","Falcor"
"218","Hayman & Hill"
"219","Hermann J. Wiemer"
"220","J. & F. Lurton"
"221","Finca Las Moras"
"222","Long Flat"
"223","Work"
"224","Amity"
"225","Autumn Hill"
"226","Blue Rock"
"227","Cherry Hill"
"228","Cloud 9"
"229","Cueva de las Manos"
"230","David Fulton"
"231","Esterlina"
"232","Goats do Roam Wine Co."
"233","Graham Beck"
"234","Hartenberg"
"235","Vignobles 46N118"
"236","Willamette Valley Vineyards"
"237","Algodon"
"238","Beaver Creek"
"239","Byron"
"240","Jardin"
"241","Kaiken"
"242","Lungarotti"
"243","Marchesi Fumanelli"
"244","Mariell"
"245","Livio Felluga"
"246","My Big Fat Greek Wine"
"247","Nals Margreid"
"248","O. Fournier"
"249","Pico Maccario"
"250","Sottano"
"251","St. Francis"
"252","Trailhead"
"253","Franz Haas"
"254","Forstreiter"
"255","Cambria"
"256","I Giusti e Zanza"
"257","J. Christopher"
"258","Viña Cobos"
"259","Salomon-Undhof"
"260","Talley"
"261","Acústic"
"262","Josef Schmid"
"263","Parallel"
"264","Château Lafon-Rochet"
"265","Dionigi"
"266","Domaine Daniel Dugois"
"267","Kilikanoon"
"268","Finca Sophenia"
"269","Treana"
"270","Ventisquero"
"271","Aquinas"
"272","Arboleda"
"273","Attilio Ghisolfi"
"274","Buried Cane"
"275","Cantina del Nebbiolo"
"276","Cascina Adelaide"
"277","Cascina La Ghersa"
"278","Claudia Springs"
"279","Cramele Recas"
"280","Domaine Bertagna"
"281","Domaine Sigalas"
"282","Socré"
"283","Boffa"
"284","Otto's Constant Dream"
"285","Mount Veeder"
"286","Rabino"
"287","Bellussi"
"288","Château Mont-Pérat"
"289","Château Tour de Mirambeau"
"290","Paladin"
"291","Perlage"
"292","Sant Eurosia"
"293","L'Antica Quercia"
"294","Lucas Vineyards"
"295","Marsuret"
"296","De Martino"
"297","Beringer"
"298","Brutocao"
"299","Clos La Chance"
"300","Sommariva"
"301","Spagnol"
"302","Jacquart"
"303","Koyle"
"304","Château Notre Dame du Quatourze"
"305","Mémoires"
"306","Cavas Hill"
"307","Antoine Moltès & Fils"
"308","Pezzi King"
"309","Bellisco"
"310","Pura 8"
"311","Viña Tarapacá"
"312","Chambers Rosewood Vineyards"
"313","Robert Weil"
"314","Torbreck"
"315","Cavallotto"
"316","Oremus"
"317","Rochioli"
"318","Louis Latour"
"319","Jasper Hill"
"320","Château de la Tour"
"321","Weingut Hans Bausch"
"322","Philippe Colin"
"323","Bel Colle"
"324","J. Davies"
"325","Winderlea"
"326","Wakefield"
"327","Cantina Terlano"
"328","Montresor"
"329","Ronco del Gelso"
"330","Sebastiani"
"331","Elena Walch"
"332","Gini"
"333","Borgo Conventi"
"334","Ceago Vinegarden"
"335","Valiano"
"336","Volpe Pasini"
"337","Zenato"
"338","L.A. Cetto"
"339","La Vis"
"340","Lapostolle"
"341","Fratelli Zeni"
"342","Carmen"
"343","Tommasi"
"344","San Michele Eppan"
"345","Vinoce"
"346","Merriam"
"347","Murphy-Goode"
"348","Kynsi"
"349","Casa Julia"
"350","Valdivieso"
"351","Bridlewood"
"352","San Pedro"
"353","Undurraga"
"354","Conti Formentini"
"355","Cline"
"356","Astoria"
"357","Cantine Maschio"
"358","Val d'Oca"
"359","Vinavanti"
"360","Vino V"
"361","Viticoltori Ponte"
"362","Le Vigne di Alice"
"363","McGregor"
"364","Miles"
"365","Morro Bay"
"366","Pizzolato"
"367","Red Newt Cellars"
"368","Ca'Tullio"
"369","Michlits"
"370","Château de Callac"
"371","Château de Marsan"
"372","Guardian"
"373","Kerloo"
"374","Kohl"
"375","Las Positas"
"376","Lieb"
"377","Luberri"
"378","Macari"
"379","Malat"
"380","Milbrandt"
"381","Ojai"
"382","ONX"
"383","Pomum"
"384","Prospect 772"
"385","Revello Fratelli"
"386","Gebeshuber"
"387","Tenuta La Marchesa"
"388","Trione"
"389","Vinos de Arganza"
"390","Walla Walla Vintners"
