"","variety","winery","region_1","region_2","province","designation","country"
"1","White Blend","Nicosia","Etna","","Sicily & Sardinia","Vulkà Bianco","Italy"
"2","Portuguese Red","Quinta dos Avidagos","","","Douro","Avidagos","Portugal"
"3","Pinot Gris","Rainstorm","Willamette Valley","Willamette Valley","Oregon","","US"
"4","Riesling","St. Julian","Lake Michigan Shore","","Michigan","Reserve Late Harvest","US"
"5","Pinot Noir","Sweet Cheeks","Willamette Valley","Willamette Valley","Oregon","Vintner's Reserve Wild Child Block","US"
"6","Tempranillo-Merlot","Tandem","Navarra","","Northern Spain","Ars In Vitro","Spain"
"7","Frappato","Terre di Giurfo","Vittoria","","Sicily & Sardinia","Belsito","Italy"
"8","Gewürztraminer","Trimbach","Alsace","","Alsace","","France"
"9","Gewürztraminer","Heinz Eifel","","","Rheinhessen","Shine","Germany"
"10","Pinot Gris","Jean-Baptiste Adam","Alsace","","Alsace","Les Natures","France"
"11","Cabernet Sauvignon","Kirkland Signature","Napa Valley","Napa","California","Mountain Cuvée","US"
"12","Gewürztraminer","Leon Beyer","Alsace","","Alsace","","France"
"13","Cabernet Sauvignon","Louis M. Martini","Alexander Valley","Sonoma","California","","US"
"14","Nerello Mascalese","Masseria Setteporte","Etna","","Sicily & Sardinia","Rosso","Italy"
"15","Chardonnay","Mirassou","Central Coast","Central Coast","California","","US"
"16","Riesling","Richard Böcking","","","Mosel","Devon","Germany"
"17","Malbec","Felix Lavaque","Cafayate","","Other","Felix","Argentina"
"18","Malbec","Gaucho Andino","Mendoza","","Mendoza Province","Winemaker Selection","Argentina"
"19","Tempranillo Blend","Pradorey","Ribera del Duero","","Northern Spain","Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza","Spain"
"20","Meritage","Quiévremont","Virginia","","Virginia","","US"
"21","Pinot Noir","Acrobat","Oregon","Oregon Other","Oregon","","US"
"22","White Blend","Baglio di Pianetto","Sicilia","","Sicily & Sardinia","Ficiligno","Italy"
"23","Merlot","Bianchi","Paso Robles","Central Coast","California","Signature Selection","US"
"24","Nero d'Avola","Canicattì","Sicilia","","Sicily & Sardinia","Aynat","Italy"
"25","Pinot Noir","Castello di Amorosa","Sonoma Coast","Sonoma","California","King Ridge Vineyard","US"
"26","White Blend","Stemmari","Terre Siciliane","","Sicily & Sardinia","Dalila","Italy"
"27","Chenin Blanc","Clarksburg Wine Company","Clarksburg","Central Valley","California","","US"
"28","Gamay","Domaine de la Madone","Beaujolais-Villages","","Beaujolais","Nouveau","France"
"29","Red Blend","Duca di Salaparuta","Sicilia","","Sicily & Sardinia","Calanìca Nero d'Avola-Merlot","Italy"
"30","Red Blend","Envolve","Dry Creek Valley","Sonoma","California","Puma Springs Vineyard","US"
"31","Pinot Noir","Erath","McMinnville","Willamette Valley","Oregon","Hyland","US"
"32","Viognier-Chardonnay","Estampa","","","Colchagua Valley","Estate","Chile"
"33","Cabernet Sauvignon","Feudi del Pisciotto","Sicilia","","Sicily & Sardinia","Missoni","Italy"
"34","Primitivo","Feudi di San Marzano","Puglia","","Southern Italy","I Tratturi","Italy"
"35","Nero d'Avola","Feudo di Santa Tresa","Sicilia","","Sicily & Sardinia","Purato Made With Organic Grapes","Italy"
"36","Catarratto","Feudo Montoni","Sicilia","","Sicily & Sardinia","","Italy"
"37","Pinot Noir","Hawkins Cellars","Willamette Valley","Willamette Valley","Oregon","","US"
"38","Gamay","Henry Fessy","Beaujolais","","Beaujolais","Nouveau","France"
"39","Sauvignon Blanc","Robert Hall","Paso Robles","Central Coast","California","","US"
"40","Merlot","Sundance","","","Maule Valley","","Chile"
"41","Red Blend","Tarara","Virginia","","Virginia","#SocialSecret","US"
"42","Inzolia","Tasca d'Almerita","Sicilia","","Sicily & Sardinia","Sallier de la Tour","Italy"
"43","Riesling","The White Knight","Lake County","","California","","US"
"44","Sauvignon Blanc","Trump","Monticello","","Virginia","","US"
"45","Gamay","Vignerons de Bel Air","Brouilly","","Beaujolais","Eté Indien","France"
"46","Red Blend","Viticultori Associati Canicatti","Sicilia","","Sicily & Sardinia","Scialo","Italy"
"47","Petit Verdot","Casa Silva","","","Colchagua Valley","Gran Reserva","Chile"
"48","Monica","Cantine di Dolianova","Monica di Sardegna","","Sicily & Sardinia","Dolia","Italy"
"49","Bordeaux-style White Blend","Château de Sours","Bordeaux Blanc","","Bordeaux","La Fleur d'Amélie","France"
"50","Red Blend","Corvo","Sicilia","","Sicily & Sardinia","Rosso","Italy"
"51","Chardonnay","RustRidge","Napa Valley","Napa","California","Estate Bottled","US"
"52","Chardonnay","Souverain","North Coast","North Coast","California","","US"
"53","Pinot Noir","Tres Palacios","","","Maipo Valley","Reserve","Chile"
