"","x"
"1","White Blend"
"2","Portuguese Red"
"3","Pinot Gris"
"4","Riesling"
"5","Pinot Noir"
"6","Tempranillo-Merlot"
"7","Frappato"
"8","Gewürztraminer"
"9","Cabernet Sauvignon"
"10","Nerello Mascalese"
"11","Chardonnay"
"12","Malbec"
"13","Tempranillo Blend"
"14","Meritage"
"15","Red Blend"
"16","Merlot"
"17","Nero d'Avola"
"18","Chenin Blanc"
"19","Gamay"
"20","Sauvignon Blanc"
"21","Viognier-Chardonnay"
"22","Primitivo"
"23","Catarratto"
"24","Inzolia"
"25","Petit Verdot"
"26","Monica"
"27","Bordeaux-style White Blend"
"28","Grillo"
"29","Sangiovese"
"30","Cabernet Franc"
"31","Champagne Blend"
"32","Bordeaux-style Red Blend"
"33","Aglianico"
"34","Petite Sirah"
"35","Touriga Nacional"
"36","Carmenère"
"37","Albariño"
"38","Petit Manseng"
"39","Rosé"
"40","Zinfandel"
"41","Vernaccia"
"42","Rosato"
"43","Grüner Veltliner"
"44","Viognier"
"45","Vermentino"
"46","Grenache Blanc"
"47","Syrah"
"48","Nebbiolo"
"49","Shiraz-Cabernet Sauvignon"
"50","Pinot Blanc"
"51","Alsace white blend"
"52","Barbera"
"53","Rhône-style Red Blend"
"54","Portuguese White"
"55","Graciano"
"56","Tannat-Cabernet"
"57","Sauvignon"
"58","Sangiovese Grosso"
"59","Torrontés"
"60","Prugnolo Gentile"
"61","G-S-M"
"62","Verdejo"
"63","Fumé Blanc"
"64","Furmint"
"65","Pinot Bianco"
"66","Bonarda"
"67","Shiraz"
"68","Montepulciano"
"69","Moscato"
"70","Grenache"
"71","Ugni Blanc-Colombard"
"72","Syrah-Viognier"
"73","Blaufränkisch"
"74","Friulano"
"75","Assyrtico"
"76","Carignan-Grenache"
"77","Sagrantino"
"78","Savagnin"
"79","Cabernet Sauvignon-Syrah"
"80","Prosecco"
"81","Vignoles"
"82","Sparkling Blend"
"83","Muscat"
"84","Muscadelle"
"85","Shiraz-Viognier"
"86","Garganega"
"87","Pinot Grigio"
"88","Tempranillo"
"89","Zierfandler"
"90","Cortese"
"91","Mencía"
"92","Zweigelt"
"93","Melon"
"94","Rhône-style White Blend"
"95","Vidal"
"96","Cannonau"
"97","Verdelho"
"98","Marsanne"
"99","Scheurebe"
"100","Kerner"
"101","Syrah-Grenache"
"102","Dolcetto"
"103","Vilana"
"104","Glera"
"105","Viura"
"106","Garnacha Tintorera"
"107","Pinot Nero"
"108","Roter Veltliner"
"109","Pinotage"
"110","Sémillon"
"111","Pinot Noir-Gamay"
"112","Antão Vaz"
"113","Cabernet Sauvignon-Carmenère"
"114","Verdejo-Viura"
"115","Verduzzo"
"116","Verdicchio"
"117","Silvaner"
"118","Colombard"
"119","Carricante"
"120","Sylvaner"
"121","Fiano"
"122","Früburgunder"
"123","Sousão"
"124","Roussanne"
"125","Avesso"
"126","Cinsault"
"127","Chinuri"
"128","Tinta Miúda"
"129","Muscat Blanc à Petits Grains"
"130","Portuguese Sparkling"
"131","Monastrell"
"132","Xarel-lo"
"133","Greco"
"134","Trebbiano"
"135","Corvina, Rondinella, Molinara"
"136","Port"
"137","Chenin Blanc-Chardonnay"
"138","Insolia"
"139","Merlot-Malbec"
"140","Ribolla Gialla"
"141","Cabernet Sauvignon-Merlot"
"142","Duras"
"143","Weissburgunder"
"144","Roditis"
"145","Traminer"
"146","Papaskarasi"
"147","Tannat-Syrah"
"148","Marsanne-Roussanne"
"149","Charbono"
"150","Merlot-Argaman"
"151","Prié Blanc"
"152","Sherry"
"153","Provence red blend"
"154","Tannat"
"155","Zibibbo"
"156","Falanghina"
"157","Garnacha"
"158","Negroamaro"
"159","Mourvèdre"
"160","Syrah-Cabernet"
"161","Müller-Thurgau"
"162","Pinot Meunier"
"163","Cabernet Sauvignon-Sangiovese"
"164","Austrian Red Blend"
"165","Teroldego"
"166","Pansa Blanca"
"167","Muskat Ottonel"
"168","Sauvignon Blanc-Semillon"
"169","Claret"
"170","Semillon-Sauvignon Blanc"
"171","Bical"
"172","Moscatel"
"173","Rosado"
"174","Viura-Chardonnay"
"175","Baga"
"176","Malvasia Bianca"
"177","Gelber Muskateller"
"178","Malbec-Merlot"
"179","Monastrell-Syrah"
"180","Malbec-Tannat"
"181","Malbec-Cabernet Franc"
"182","Turbiana"
"183","Refosco"
"184","Alvarinho"
"185","Manzoni"
"186","Aragonês"
"187","Agiorgitiko"
"188","Malagousia"
"189","Assyrtiko"
"190","Ruché"
"191","Welschriesling"
"192","Tinta de Toro"
"193","Cabernet Moravia"
"194","Rieslaner"
"195","Traminette"
"196","Chambourcin"
"197","Nero di Troia"
"198","Lambrusco di Sorbara"
"199","Cesanese"
"200","Feteasca Neagra"
"201","Lagrein"
"202","Tinta Fina"
"203","St. Laurent"
"204","Marsanne-Viognier"
"205","Cabernet Sauvignon-Shiraz"
"206","Syrah-Cabernet Sauvignon"
"207","Gewürztraminer-Riesling"
"208","Pugnitello"
"209","Cerceal"
"210","Touriga Nacional Blend"
"211","Austrian white blend"
"212","Tocai"
"213","Tinta Roriz"
"214","Chardonnay-Viognier"
"215","Fernão Pires"
"216","Cabernet Franc-Cabernet Sauvignon"
"217","Grenache-Syrah"
"218","Seyval Blanc"
"219","Muscat Canelli"
"220","Cabernet Merlot"
"221","Tempranillo-Cabernet Sauvignon"
"222","Arinto"
"223","Aragonez"
"224","Merlot-Cabernet Franc"
"225","Syrah-Petite Sirah"
"226","Cabernet Blend"
"227","Maturana"
"228","Pecorino"
"229","Rotgipfler"
"230","Kinali Yapincak"
"231","Cabernet Franc-Carmenère"
"232","Magliocco"
"233","Gamay Noir"
"234","Sauvignon Gris"
"235","Spätburgunder"
"236","Picpoul"
"237","Vidal Blanc"
"238","Albanello"
"239","White Port"
"240","Arneis"
"241","Malvasia"
"242","Plavac Mali"
"243","Lemberger"
"244","Saperavi"
"245","Altesse"
"246","Blanc du Bois"
"247","Provence white blend"
"248","Nosiola"
"249","Dornfelder"
"250","Roussanne-Viognier"
"251","Ojaleshi"
"252","Godello"
"253","Mondeuse"
"254","Perricone"
"255","Pedro Ximénez"
"256","Auxerrois"
"257","Syrah-Merlot"
"258","Albana"
"259","Muskat"
"260","Lambrusco"
"261","Cabernet Sauvignon-Malbec"
"262","Tinto Fino"
"263","Malbec-Cabernet Sauvignon"
"264","Moschofilero"
"265","Grechetto"
"266","Encruzado"
"267","Carignano"
"268","Cabernet Franc-Merlot"
"269","Torbato"
"270","Syrah-Petit Verdot"
"271","Garnacha Blanca"
"272","Pallagrello"
"273","Morava"
"274","Syrah-Mourvèdre"
"275","Aleatico"
"276","Carcajolu"
"277","Kisi"
"278","Shiraz-Grenache"
"279","Palomino"
"280","Grenache-Carignan"
"281","Nascetta"
"282","Siria"
"283","Malbec-Syrah"
"284","Asprinio"
"285","Feteascǎ Regalǎ"
"286","Lambrusco Grasparossa"
"287","Marselan"
"288","Tocai Friulano"
"289","Schiava"
"290","Alfrocheiro"
"291","Chardonnay-Semillon"
"292","Corvina"
"293","Norton"
"294","Alicante Bouschet"
"295","Tokaji"
"296","Moscadello"
"297","Cabernet Sauvignon-Tempranillo"
"298","Carignan"
"299","Loureiro-Arinto"
"300","Cabernet-Syrah"
"301","Sauvignon Blanc-Chardonnay"
"302","Symphony"
"303","Edelzwicker"
"304","Madeira Blend"
"305","Black Muscat"
"306","Grenache Noir"
"307","Durella"
"308","Xinomavro"
"309","Tinto del Pais"
"310","Merlot-Cabernet Sauvignon"
"311","Cercial"
"312","Johannisberg Riesling"
"313","Petite Verdot"
"314","Passerina"
"315","Valdiguié"
"316","Colombard-Sauvignon Blanc"
"317","Kangoun"
"318","Loureiro"
"319","Posip"
"320","Uva di Troia"
"321","Gros and Petit Manseng"
"322","Jacquère"
"323","Kalecik Karasi"
"324","Karasakiz"
"325","Mourvèdre-Syrah"
"326","Negrette"
"327","Zierfandler-Rotgipfler"
"328","Clairette"
"329","Raboso"
"330","País"
"331","Mauzac"
"332","Pinot Auxerrois"
"333","Chenin Blanc-Sauvignon Blanc"
"334","Diamond"
"335","Marzemino"
"336","Tinta Barroca"
