"","variety","price","winery","taster_name","title"
"1","White Blend",NA,"Nicosia","Kerin O’Keefe","Nicosia 2013 Vulkà Bianco  (Etna)"
"2","Portuguese Red",15,"Quinta dos Avidagos","Roger Voss","Quinta dos Avidagos 2011 Avidagos Red (Douro)"
"3","Pinot Gris",14,"Rainstorm","Paul Gregutt","Rainstorm 2013 Pinot Gris (Willamette Valley)"
"4","Riesling",13,"St. Julian","Alexander Peartree","St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)"
"5","Pinot Noir",65,"Sweet Cheeks","Paul Gregutt","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)"
"6","Tempranillo-Merlot",15,"Tandem","Michael Schachner","Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)"
"7","Frappato",16,"Terre di Giurfo","Kerin O’Keefe","Terre di Giurfo 2013 Belsito Frappato (Vittoria)"
"8","Gewürztraminer",24,"Trimbach","Roger Voss","Trimbach 2012 Gewurztraminer (Alsace)"
"9","Gewürztraminer",12,"Heinz Eifel","Anna Lee C. Iijima","Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)"
"10","Pinot Gris",27,"Jean-Baptiste Adam","Roger Voss","Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)"
"11","Cabernet Sauvignon",19,"Kirkland Signature","Virginie Boone","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)"
"12","Gewürztraminer",30,"Leon Beyer","Roger Voss","Leon Beyer 2012 Gewurztraminer (Alsace)"
"13","Cabernet Sauvignon",34,"Louis M. Martini","Virginie Boone","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)"
"14","Nerello Mascalese",NA,"Masseria Setteporte","Kerin O’Keefe","Masseria Setteporte 2012 Rosso  (Etna)"
"15","Chardonnay",12,"Mirassou","Matt Kettmann","Mirassou 2012 Chardonnay (Central Coast)"
"16","Riesling",24,"Richard Böcking","Anna Lee C. Iijima","Richard Böcking 2013 Devon Riesling (Mosel)"
"17","Malbec",30,"Felix Lavaque","Michael Schachner","Felix Lavaque 2010 Felix Malbec (Cafayate)"
"18","Malbec",13,"Gaucho Andino","Michael Schachner","Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)"
"19","Tempranillo Blend",28,"Pradorey","Michael Schachner","Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)"
"20","Meritage",32,"Quiévremont","Alexander Peartree","Quiévremont 2012 Meritage (Virginia)"
"21","Red Blend",23,"Quiévremont","Alexander Peartree","Quiévremont 2012 Vin de Maison Red (Virginia)"
"22","Pinot Noir",20,"Acrobat","Paul Gregutt","Acrobat 2013 Pinot Noir (Oregon)"
"23","White Blend",19,"Baglio di Pianetto","Kerin O’Keefe","Baglio di Pianetto 2007 Ficiligno White (Sicilia)"
"24","Merlot",22,"Bianchi","Matt Kettmann","Bianchi 2011 Signature Selection Merlot (Paso Robles)"
"25","Nero d'Avola",35,"Canicattì","Kerin O’Keefe","Canicattì 2009 Aynat Nero d'Avola (Sicilia)"
"26","Pinot Noir",69,"Castello di Amorosa","Virginie Boone","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)"
"27","White Blend",13,"Stemmari","Kerin O’Keefe","Stemmari 2013 Dalila White (Terre Siciliane)"
"28","Nero d'Avola",10,"Stemmari","Kerin O’Keefe","Stemmari 2013 Nero d'Avola (Terre Siciliane)"
"29","Red Blend",17,"Terre di Giurfo","Kerin O’Keefe","Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)"
"30","Chenin Blanc",16,"Clarksburg Wine Company","Virginie Boone","Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)"
"31","Gamay",NA,"Domaine de la Madone","Roger Voss","Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages)"
"32","Red Blend",NA,"Duca di Salaparuta","Unknown","Duca di Salaparuta 2010 Calanìca Nero d'Avola-Merlot Red (Sicilia)"
"33","Red Blend",50,"Envolve","Unknown","Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)"
